t,pred,prey,prey2,grass,grass2
10,6,15,15,194,147
20,6,15,15,190,144
30,6,15,15,184,137
40,6,15,15,179,133
50,6,16,15,171,127
60,6,16,16,167,125
70,6,18,16,164,119
80,6,21,17,161,118
90,6,21,17,157,115
100,6,21,16,156,108
110,6,21,18,149,104
120,6,20,18,146,103
130,6,20,18,140,97
140,6,20,19,137,90
150,6,20,20,133,86
160,6,20,21,129,87
170,6,20,23,127,82
180,6,19,23,122,85
190,6,19,23,120,86
200,6,19,25,120,84
210,6,18,25,119,85
220,6,20,23,114,88
230,6,20,23,116,85
240,6,22,24,115,82
250,6,23,26,110,87
260,6,23,26,110,90
270,6,24,27,110,90
280,6,24,28,108,91
290,6,25,30,107,95
300,7,26,30,104,95
310,7,25,31,97,93
320,7,27,32,95,93
330,7,27,33,93,95
340,7,27,35,90,93
350,7,28,35,86,93
360,7,29,35,86,88
370,7,31,35,92,85
380,7,32,36,95,75
390,7,32,37,94,75
400,7,32,38,100,72
410,7,32,38,103,67
420,7,31,38,104,61
430,6,31,39,105,58
440,6,32,39,106,60
450,6,31,40,102,54
460,6,32,41,93,53
470,6,32,42,95,57
480,6,31,41,89,56
490,6,32,44,98,60
500,6,32,43,98,66
510,6,32,43,99,66
520,6,32,44,98,68
530,6,29,44,96,76
540,6,29,45,100,72
550,7,32,45,97,68
560,7,32,45,94,72
570,7,35,44,91,76
580,7,34,45,86,77
590,8,35,46,85,68
600,8,35,46,83,71
610,8,35,47,82,70
620,9,37,48,79,64
630,9,38,47,86,63
640,9,38,47,89,62
650,9,41,49,88,59
660,9,43,49,90,58
670,9,44,50,90,55
680,10,42,52,92,56
690,10,42,53,88,64
700,10,41,54,89,69
710,10,41,54,95,69
720,10,40,55,90,69
730,10,40,55,88,67
740,10,41,57,87,70
750,11,40,56,91,65
760,11,41,56,88,65
770,12,42,55,84,75
780,12,43,58,83,75
790,12,43,60,89,71
800,12,43,60,93,62
810,12,43,61,95,58
820,11,43,60,97,59
830,11,43,60,96,59
840,11,44,60,96,57
850,12,46,63,92,56
860,12,48,63,89,52
870,12,49,64,95,51
880,12,49,66,96,52
890,12,51,66,91,49
900,12,53,68,94,52
910,12,53,63,96,51
920,12,52,64,91,55
930,14,53,64,86,55
940,14,53,65,92,55
950,14,55,65,92,60
960,14,54,66,91,67
970,14,55,65,92,69
980,14,56,65,89,66
990,14,56,65,85,68
1000,14,56,66,83,66
1010,14,57,66,84,66
1020,13,57,66,80,66
1030,13,56,66,85,67
1040,13,58,66,89,69
1050,13,57,66,80,67
1060,13,58,67,83,64
1070,13,58,67,81,60
1080,13,60,67,87,64
1090,13,59,67,86,65
1100,13,58,67,92,70
1110,13,58,67,93,66
1120,13,58,67,91,67
1130,14,58,68,89,69
1140,14,58,68,93,69
1150,14,59,67,92,63
1160,14,59,66,89,65
1170,14,59,66,90,67
1180,15,59,63,85,73
1190,15,59,64,86,67
1200,15,59,65,89,65
1210,15,58,64,88,62
1220,15,58,63,84,58
1230,15,58,63,90,55
1240,15,57,63,88,51
1250,15,57,63,92,47
1260,15,59,62,84,49
1270,15,60,59,85,53
1280,15,61,61,83,56
1290,15,60,61,80,56
1300,15,60,61,82,58
1310,15,60,61,88,59
1320,15,59,61,87,58
1330,16,60,60,87,55
1340,16,61,62,89,57
1350,15,60,61,93,60
1360,15,60,60,95,69
1370,15,61,60,93,70
1380,15,62,60,93,67
1390,15,60,56,93,70
1400,15,53,55,93,70
1410,15,52,55,88,71
1420,16,52,56,86,67
1430,17,52,56,87,63
1440,17,53,57,90,64
1450,17,53,58,91,67
1460,18,52,58,86,64
1470,18,49,57,85,63
1480,18,48,59,85,65
1490,18,48,60,83,68
1500,18,48,59,86,64
1510,18,47,55,82,59
1520,20,47,56,86,60
1530,20,46,56,83,64
1540,20,47,56,84,65
1550,21,47,56,91,67
1560,21,45,60,95,70
1570,21,45,60,94,75
1580,22,46,62,94,76
1590,22,45,60,101,77
1600,21,43,60,103,73
1610,21,45,60,109,79
1620,21,44,60,109,78
1630,21,44,59,110,78
1640,21,43,59,115,69
1650,21,42,58,119,71
1660,20,41,58,121,72
1670,20,41,57,116,75
1680,20,42,59,115,76
1690,19,43,61,120,76
1700,19,44,62,114,75
1710,20,44,62,113,69
1720,19,43,62,115,65
1730,19,41,63,113,66
1740,19,40,61,117,62
1750,19,38,61,115,61
1760,20,39,60,115,61
1770,20,39,60,115,61
1780,20,37,58,111,61
1790,20,36,59,108,67
1800,21,36,60,106,67
1810,21,36,61,101,71
1820,22,35,61,98,69
1830,22,34,61,90,67
1840,23,34,60,88,67
1850,23,34,58,92,68
1860,22,35,58,93,71
1870,22,37,56,91,75
1880,21,39,56,92,74
1890,20,40,55,91,73
1900,20,42,56,89,76
1910,21,42,54,90,75
1920,21,41,54,85,75
1930,21,39,55,91,80
1940,21,39,55,88,79
1950,21,40,54,88,73
1960,21,40,52,93,70
1970,21,41,52,96,69
1980,21,41,51,103,69
1990,21,39,50,109,68
2000,21,38,49,111,70
2010,21,38,49,113,70
2020,20,39,49,118,69
2030,20,40,49,113,72
2040,20,40,48,114,75
2050,20,40,48,114,74
2060,20,40,47,110,75
2070,20,39,47,108,77
2080,21,39,47,104,71
2090,21,35,48,101,75
2100,21,34,49,100,80
2110,22,33,47,93,81
2120,22,31,47,96,83
2130,22,32,48,98,84
2140,22,32,47,96,85
2150,21,34,47,102,83
2160,21,32,45,100,81
2170,21,32,44,101,84
2180,20,34,44,106,81
2190,20,34,45,110,83
2200,19,32,42,108,79
2210,19,32,44,110,78
2220,19,29,43,110,79
2230,20,30,42,115,81
2240,20,30,42,121,81
2250,21,29,41,125,83
2260,21,28,36,128,83
2270,21,28,36,129,80
2280,21,26,37,136,78
2290,21,23,38,141,79
2300,21,21,42,141,81
2310,21,21,42,139,83
2320,22,21,40,139,76
2330,23,20,40,140,81
2340,23,19,40,141,78
2350,24,19,40,144,79
2360,24,20,36,142,82
2370,24,20,35,144,84
2380,24,19,34,149,88
2390,24,19,34,150,87
2400,23,20,34,150,85
2410,23,20,33,147,86
2420,23,20,32,147,87
2430,23,22,31,150,89
2440,23,22,30,150,90
2450,23,16,29,151,94
2460,24,13,27,149,98
2470,24,12,29,148,105
2480,25,12,27,149,102
2490,25,12,27,149,101
2500,26,12,26,154,102
2510,26,11,26,155,104
2520,25,11,27,156,102
2530,25,12,27,151,102
2540,27,12,27,153,104
2550,27,12,27,150,110
2560,27,12,27,152,111
2570,27,13,26,150,110
2580,26,13,26,154,108
2590,26,14,26,154,107
2600,26,12,25,156,107
2610,26,12,26,156,105
2620,26,13,25,159,106
2630,26,13,23,162,103
2640,25,14,19,163,105
2650,25,12,19,163,106
2660,25,13,19,162,103
2670,25,14,17,162,106
2680,24,12,18,163,106
2690,24,12,19,161,104
2700,24,11,17,159,103
2710,23,10,14,159,104
2720,22,10,15,155,108
2730,23,11,14,156,111
2740,23,10,14,153,110
2750,24,9,14,157,109
2760,24,9,14,154,108
2770,24,9,13,156,108
2780,24,9,13,154,112
2790,25,10,13,153,113
2800,25,10,14,151,115
2810,25,11,14,148,115
2820,25,11,12,147,116
2830,25,11,12,148,116
2840,24,12,13,149,119
2850,24,12,13,151,121
2860,24,12,14,151,117
2870,24,12,14,153,117
2880,25,11,15,157,119
2890,25,11,15,157,120
2900,25,11,15,160,122
2910,25,11,13,162,124
2920,24,12,12,165,126
2930,22,11,12,167,126
2940,22,12,12,163,124
2950,21,12,11,160,123
2960,20,13,10,163,124
2970,20,13,10,163,126
2980,20,13,11,164,126
2990,20,13,10,166,122
3000,19,13,9,162,121
3010,17,13,9,161,126
3020,17,13,9,159,122
3030,17,13,10,156,122
3040,17,15,11,154,121
3050,17,15,12,151,121
3060,16,16,11,147,118
3070,14,16,9,146,116
3080,14,16,9,143,115
3090,12,16,10,141,119
3100,12,16,10,136,120
3110,12,17,11,135,117
3120,12,18,11,138,113
3130,12,19,10,140,114
3140,12,21,10,137,119
3150,11,21,10,138,119
3160,11,21,10,134,114
3170,8,21,10,135,118
3180,8,22,10,134,117
3190,8,23,10,133,118
3200,8,23,12,136,117
3210,8,24,13,137,118
3220,7,24,13,138,117
3230,7,25,14,138,112
3240,7,24,14,138,109
3250,7,25,14,140,105
3260,7,24,15,139,105
3270,7,25,15,144,104
3280,7,25,15,149,101
3290,7,24,16,150,100
3300,7,25,18,147,99
3310,6,25,19,145,97
